,Type,Cotton,Organic_cotton,Other_plant,Wool,Other_animal,Polyester,Nylon,Spandex,Polyamide,Other_synthetic,Lyocell,Viscose,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
76,trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1528.0,Norway,Machine wash_ hot,Tumble dry_ low,0,0,3
77,trousers,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,1576.0,Finland,Machine wash_ hot,Tumble dry_ medium,0,0,1
78,trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2060.0,Latvia,Machine wash_ hot,Tumble dry_ low,0,0,3
79,short,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,1,1,Europe,2102.0,Denmark,Machine wash_ hot,Tumble dry_ low,0,0,2
80,short,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2354.0,Poland,Machine wash_ hot,Tumble dry_ medium,0,0,4
81,jacket,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,2634.0,UK,Machine wash_ hot,Tumble dry_ medium,0,0,1
82,jacket,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,8146.0,USA,Machine wash_ hot,Tumble dry_ medium,0,0,1
83,trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,1,1,Europe,1030.0,Sweden,Machine wash_ hot,Tumble dry_ low,0,0,2
84,trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1528.0,Norway,Machine wash_ hot,Tumble dry_ medium,0,0,4
85,jacket,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,1,1,Europe,1576.0,Finland,Machine wash_ hot,Tumble dry_ low,0,0,2
86,jacket,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2060.0,Latvia,Machine wash_ hot,Tumble dry_ low,0,0,3
87,t-shirt,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,Europe,2102.0,Denmark,Machine wash_ warm,Tumble dry_ low,0,0,2
88,t-shirt,0.55,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2354.0,Poland,Machine wash_ hot,Tumble dry_ low,0,0,3
89,jacket,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,Europe,2634.0,UK,Machine wash_ warm,Tumble dry_ low,0,0,2
90,sweater,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,8146.0,USA,Machine wash_ hot,Tumble dry_ low,0,0,3
91,t-shirt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1030.0,Sweden,Machine wash_ hot,Tumble dry_ low,0,0,2
92,t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1528.0,Norway,Machine wash_ hot,Tumble dry_ low,0,0,3
93,jacket,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,Europe,1576.0,Finland,Machine wash_ warm,Line dry,0,0,2
94,jacket,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2060.0,Latvia,Machine wash_ hot,Tumble dry_ low,0,0,3
95,jacket,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,Europe,2102.0,Denmark,Machine wash_ warm,Tumble dry_ low,0,0,2
96,jacket,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2354.0,Poland,Machine wash_ warm,Line dry,0,0,3
97,jeans,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,2
98,jeans,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,2
99,jeans,0.45,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,2
100,jeans,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,2
101,jeans,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,2
102,jeans,0.45,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,2
103,jeans,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,3
104,jeans,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,3
105,jeans,0.45,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,3
106,jeans,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,2
107,jeans,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,2
108,jeans,0.45,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0,1,1,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,2
109,jeans,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,3
110,jeans,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,3
111,jeans,0.45,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,3
112,jeans,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,10253.0,USA,Machine wash_ cold,Line dry,0,0,3
113,jeans,0.15,0.84,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0,1,1,Europe,11153.0,USA,Machine wash_ cold,Line dry,0,0,1
