,Type,Cotton,Organic_cotton,Other_plant,Wool,Other_animal,Polyester,Nylon,Spandex,Polyamide,Other_synthetic,Lyocell,Viscose,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
26,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
27,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
28,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
29,short,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
30,short,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
31,skirt,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
32,skirt,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
33,short,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
34,jacket,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
35,jacket,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,1
36,jacket,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
37,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
38,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
39,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
40,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
41,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
42,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
43,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
44,jeans,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
45,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
46,jeans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,2
47,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
48,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
49,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
50,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
51,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
52,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
53,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
54,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
55,short,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
56,short,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
57,short,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,1
58,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
59,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
60,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
61,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
62,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
63,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
64,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
65,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
66,jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
67,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
68,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,1
69,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
70,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
71,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
72,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
73,jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
74,jeans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,0,0,3
75,trousers,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,1030.0,Sweden,Machine wash_ hot,Tumble dry_ medium,0,0,1
