ID,Type,Cotton,Organic_cotton,Linen,Hemp,Jute,Other_plant,Silk,Wool,Leather,Camel,Cashmere,Alpaca,Feathers,Other_animal,Polyester,Nylon,Acrylic,Spandex,Elastane,Polyamide,Other_synthetic,Lyocell,Viscose,Acetate,Modal,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
28,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
29,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
30,short,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2720,UK,Machine wash_ cold,Line dry,1,1,1
31,short,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2666,Switzerland,Machine wash_ cold,Line dry,1,1,1
32,skirt,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,3993,Greece,Machine wash_ cold,Line dry,1,1,1
33,skirt,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,9448,USA,Machine wash_ cold,Line dry,1,1,1
34,short,"0,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,31","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1,0,1,Africa,2072,Netherlands,Machine wash_ cold,Line dry,1,1,1
35,jacket,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2389,Germany,Machine wash_ cold,Line dry,1,1,1
36,"jacket ","0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2262,Belgium,Machine wash_ cold,Line dry,1,1,1
37,jacket,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2728,France,Machine wash_ cold,Line dry,1,1,1
38,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2887,Austria,Machine wash_ cold,Line dry,1,1,1
39,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
40,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
41,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2720,UK,Machine wash_ cold,Line dry,1,1,1
42,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2666,Switzerland,Machine wash_ cold,Line dry,1,1,1
