Type,Cotton,Organic_cotton,Other_plant,Wool,Other_animal,Polyester,Nylon,Spandex,Polyamide,Other_synthetic,Lyocell,Viscose,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
jeans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,0,0,3
trousers,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,1030.0,Sweden,Machine wash_ hot,Tumble dry_ medium,0,0,1
trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,1528.0,Norway,Machine wash_ hot,Tumble dry_ low,0,0,3
trousers,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,1576.0,Finland,Machine wash_ hot,Tumble dry_ medium,0,0,1
trousers,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2060.0,Latvia,Machine wash_ hot,Tumble dry_ low,0,0,3
short,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,1,1,Europe,2102.0,Denmark,Machine wash_ hot,Tumble dry_ low,0,0,2
short,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Europe,2354.0,Poland,Machine wash_ hot,Tumble dry_ medium,0,0,4
jacket,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,1,1,1,Europe,2634.0,UK,Machine wash_ hot,Tumble dry_ medium,0,0,1
